TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OFF TOV,2ND CHANCE,FB,PAINT
Golden State Warriors,82,67,15,26.6,37.8,13.2,70.3,4.8,1.7,9.2,7.8,8,25.3
Brooklyn Nets,82,20,62,27.9,37.6,16.6,71.8,4,1.5,11,8.2,8,26
LA Clippers,82,51,31,25.2,52.3,10.8,73.1,4.3,0.8,7.9,6.8,7.5,22.6
Sacramento Kings,82,32,50,24.2,51.5,10,71.9,3.9,0.8,8.8,6.3,7.2,20.6
Philadelphia 76ers,82,28,54,22.8,37.4,11.1,70.7,3.9,1,8.8,6.4,7.1,21.6
Memphis Grizzlies,82,43,39,23.5,29.2,11.1,73.1,4.6,1.5,7.1,5.5,7,18.2
Milwaukee Bucks,82,42,40,29.2,27.5,16.3,70.4,5.3,2.7,9.7,7.6,7,26.4
Los Angeles Lakers,82,26,56,20.7,34.9,9,71.6,4,0.7,7.6,5.7,6.9,20.6
Phoenix Suns,82,24,58,20.4,46.1,9.1,71.8,3.4,0.9,7.7,5.7,6.8,18.8
Dallas Mavericks,82,33,49,23.8,30.5,11.1,73.4,3.9,0.7,6.9,5.7,6.7,19.6
Denver Nuggets,82,40,42,22,34.8,10.5,75.5,3.3,1,8.3,5.6,6.6,21.7
Portland Trail Blazers,82,41,41,25.1,38.6,13.1,71.9,3.5,1.4,8.1,6.6,6.5,22.2
Charlotte Hornets,82,36,46,24.1,36.4,15,74.8,3.6,1.1,6.5,5.7,6.4,20.5
Atlanta Hawks,82,43,39,24.1,31.1,11.2,71.2,3.7,1.3,8.6,6.7,6.3,19.6
Houston Rockets,82,55,27,20.7,44.5,13.9,71.4,3.6,1.5,7.4,6.1,6.2,21.2
Cleveland Cavaliers,82,51,31,22.6,43.9,10,71.5,3.5,1.4,7.9,6.7,6.2,20.8
New Orleans Pelicans,82,34,48,22.3,43.6,10.5,72.4,3.8,1.3,7.1,5.7,6.2,20.2
New York Knicks,82,31,51,22.2,50.6,10.6,69.8,3.6,1.1,7.4,6.7,6.2,21
San Antonio Spurs,82,61,21,23.5,27,11.3,72.8,4.4,1.7,7.3,6,6.2,19.9
Orlando Magic,82,29,53,22.2,40.7,10.5,72.4,3.6,0.8,7.4,6.1,5.9,21.3
Miami Heat,82,41,41,27.1,60,12.2,71.8,4.3,1.7,7.8,7.2,5.8,25
Washington Wizards,82,49,33,21.4,37.2,9,71.2,4,1.1,7.2,6.2,5.3,19.5
Boston Celtics,82,53,29,20.3,43.3,10.6,70.2,3.9,0.9,6.4,6,5.3,18.3
Indiana Pacers,82,42,40,23.7,29,12.7,71.2,3.8,1.4,7.8,6.3,5.3,19.3
Toronto Raptors,82,51,31,21.9,48.8,11.6,71.6,4,0.9,6.8,6,5.2,19
Minnesota Timberwolves,82,31,51,18.1,33,8.2,70.7,3.9,1,6.4,5.1,5.1,17.4
Chicago Bulls,82,41,41,17.8,39.7,11.1,73.1,4,1.1,5.7,4.4,5.1,16.8
Oklahoma City Thunder,82,47,35,19.8,34.6,14.3,74.2,3.8,0.9,6.9,5,4.7,19.5
Utah Jazz,82,51,31,20.5,30.4,10.7,74.3,2.8,0.8,6.4,4.6,4.5,17.6
Detroit Pistons,82,37,45,16.8,34.4,7.1,77,2.5,0.6,4.4,3.6,3.6,14.4
