TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OFF TOV,2ND CHANCE,FB,PAINT
Minnesota Timberwolves,82,31,51,15.3,22.6,15.6,71.8,2.1,2.7,5.4,4.2,4.5,14.6
Sacramento Kings,82,32,50,13.9,23.1,14.4,72.5,2.2,2.4,4.9,3.7,4.3,11.7
Charlotte Hornets,82,36,46,12.7,26.1,9.7,74.8,1.7,2,3.5,2.9,3.4,10.6
New Orleans Pelicans,82,34,48,11.8,23.9,14.7,73.1,2,2.8,4,3,3.2,10.6
Utah Jazz,82,51,31,13.8,20.6,13.6,74.8,1.6,3.6,4.3,3,3.1,11.6
San Antonio Spurs,82,61,21,11.1,20.6,13.1,73,1.1,2.2,3.4,2.8,2.9,9.2
Phoenix Suns,82,24,58,8.7,22.6,11.4,72.1,1.2,1.9,3.3,2.4,2.9,7.7
LA Clippers,82,51,31,9.5,21.2,13.5,73.4,0.9,2.1,3,2.5,2.8,8.3
Indiana Pacers,82,42,40,12,22.1,10.6,71.6,1.4,2.8,4.1,3.1,2.8,9.7
New York Knicks,82,31,51,9.1,22.2,10.8,69.8,1.4,2.2,3.2,2.7,2.7,8.9
Orlando Magic,82,29,53,10,21.7,12.7,72.7,1.3,2.1,3.3,2.7,2.7,9.5
Oklahoma City Thunder,82,47,35,11.4,23.5,9.2,74,1.7,1.5,4,2.9,2.7,11.2
Boston Celtics,82,53,29,10.4,21.6,9,70.3,1.3,1.7,3.4,3.1,2.6,9.3
Chicago Bulls,82,41,41,8.7,21,6.2,73.9,0.6,1.6,2.8,2.1,2.6,8
Denver Nuggets,82,40,42,8.6,22,9.9,76.1,1.3,1.5,3.2,2.2,2.5,8.5
Washington Wizards,82,49,33,10.2,21.5,11.1,72.1,1.1,1.7,3.5,2.9,2.5,9.1
Brooklyn Nets,82,20,62,8.3,23.5,5.8,72.3,0.8,2,3.3,2.4,2.5,7.9
Toronto Raptors,82,51,31,9.5,23,9.7,71.7,1.3,2.1,2.9,2.5,2.4,8.1
Milwaukee Bucks,82,42,40,9.7,21.6,8.7,70.9,1.8,1.9,3.2,2.5,2.3,8.8
Los Angeles Lakers,81,25,56,6.9,21.8,5.9,72.9,0.7,1.3,2.5,1.9,2.3,6.6
Atlanta Hawks,81,42,39,8.5,21,10,72.6,1.2,1.6,3.2,2.4,2.3,6.8
Dallas Mavericks,82,33,49,8.5,21.3,8.7,73,1.6,2,2.5,2.1,2.3,6.8
Philadelphia 76ers,75,27,48,6.8,21.9,6,71.4,1.2,2,2.5,1.8,2.2,6.1
Portland Trail Blazers,82,41,41,8.1,21.8,8.1,72,1.1,1.6,2.6,2.1,2.2,7.3
Detroit Pistons,82,37,45,9.4,21.1,13.1,77.4,1.8,1.7,2.5,2,2.1,8
Houston Rockets,82,55,27,6.8,21.1,6.6,72.8,1.1,1.5,2.4,1.8,2,6.9
Memphis Grizzlies,74,40,34,6.8,21.3,5.5,74.5,0.9,1.3,2,1.6,2,5.2
Miami Heat,82,41,41,8.6,21,12.2,72.6,0.9,2.5,2.5,2.3,1.9,7.9
Cleveland Cavaliers,81,51,30,6.1,21.8,5.7,72.2,0.6,1.2,2.1,1.7,1.8,5.7
Golden State Warriors,82,67,15,5.3,20.9,5.4,72.6,1,1.3,1.9,1.5,1.7,5
