TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OFF TOV,2ND CHANCE,FB,PAINT
Los Angeles Lakers,82,17,65,25.6,34.7,11.5,71,4.3,0.8,8.9,7.8,9.2,25.8
Philadelphia 76ers,82,10,72,25.9,35.1,13.4,68.9,4.1,1.3,10.7,8,9.1,24.8
Brooklyn Nets,82,21,61,30,31.2,15.9,71.4,4.5,0.9,11.2,7.6,9,29.9
Dallas Mavericks,82,42,40,26.2,32.4,12,72.1,3.8,1,7.9,7.3,8.6,21.9
Golden State Warriors,82,73,9,27.6,34.4,15.5,71.5,5.4,1.9,9.6,8.1,8.3,25.9
Houston Rockets,82,41,41,25.5,33.1,12.4,69.1,5.5,1.5,10.1,7.9,7.6,23.5
Phoenix Suns,82,23,59,20.5,41.6,8.7,73,3.7,1.1,8.4,5.5,7.3,18.9
LA Clippers,82,53,29,27.9,38,12.4,69.2,5.7,1.2,8.5,8.2,7.2,23.9
Charlotte Hornets,82,48,34,27.7,32,16.7,75.2,4.6,2.2,8.1,6.6,7.1,23
Denver Nuggets,82,33,49,26.5,31.8,13.9,72.8,4.2,1.7,9.2,6.7,7.1,23.8
Sacramento Kings,82,33,49,22.6,32.3,10.3,71.2,4.3,0.5,8.7,6.4,7,20.5
Memphis Grizzlies,82,42,40,22.8,27.5,10.9,70.6,5.2,1.2,7.1,5.6,7,18.3
Orlando Magic,82,35,47,25,29.8,11.7,72.3,4.9,1.3,8.3,5.9,6.9,22.8
Minnesota Timberwolves,82,29,53,22.3,29.4,9.8,70.2,4.5,0.9,8.2,6.1,6.3,21.3
Milwaukee Bucks,82,33,49,22.6,29.1,10.8,68.9,4.5,1.2,8.3,6.6,6.2,20.4
Atlanta Hawks,82,48,34,24.7,31.4,13.9,69.7,4.6,1.5,8.1,6.7,6.1,20.9
Chicago Bulls,82,42,40,21.2,27.3,10.2,70.9,3.3,1.4,7,6.3,6.1,19.6
Oklahoma City Thunder,82,55,27,22.4,48.7,12.5,71.7,4.6,1.3,8.3,6.5,6.1,21
Washington Wizards,82,41,41,23.1,44.3,12,73.5,4.3,1.2,7.4,5.6,6,19.8
Indiana Pacers,82,45,37,22.3,31.3,10.7,71.3,4.5,1.2,7.5,6,5.7,19.3
Toronto Raptors,82,56,26,25.4,38.1,12.9,73.3,4.8,1.4,7.4,6.1,5.6,20.9
Boston Celtics,82,48,34,24.3,32.6,12.1,70.8,4.9,1,7.5,7,5.6,21.7
New York Knicks,82,32,50,21,46.4,11.4,71.9,3,0.7,6.6,5.5,5.5,18.7
Portland Trail Blazers,82,44,38,23.4,51.8,11,72.5,3.4,1.1,7.7,6,5.4,19.6
San Antonio Spurs,82,67,15,20.4,25,10,74.2,3.7,1.3,5.8,4.6,5.1,17.1
Cleveland Cavaliers,82,57,25,21.8,27.9,9,74,3.3,1.1,7,5.1,5,18.5
New Orleans Pelicans,82,30,52,20.2,36,10.4,74.2,4.1,0.8,6.2,4.9,4.9,18
Miami Heat,82,48,34,19.7,35.5,9,72.5,3,1.2,6.5,5.4,4.5,17.4
Utah Jazz,82,40,42,17.8,36.1,7.9,72.8,2.7,0.4,5.8,4.2,4.3,14.4
Detroit Pistons,82,44,38,16.6,35.9,6.6,74.9,2.5,0.4,4.9,3.7,3.5,15.3
