TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OFF TOV,2ND CHANCE,FB,PAINT
Sacramento Kings,82,33,49,12.7,23.1,13,72.1,2.3,2.8,4.9,3.5,3.9,11.2
Indiana Pacers,82,45,37,15.5,21.2,14.6,71.7,1.9,2.9,5.1,4.1,3.9,13
Minnesota Timberwolves,82,29,53,12.7,27.9,13.4,70.1,1.9,2.9,4.6,3.5,3.6,12
Charlotte Hornets,82,48,34,13.7,22.2,12.4,75.6,1.8,2.1,4,3.2,3.5,11.1
New York Knicks,82,32,50,13.6,22.1,12.2,72.5,1.2,4.2,4.4,3.5,3.5,12
Philadelphia 76ers,74,10,64,9.6,21.5,8.6,69.8,1.9,2.2,4.3,2.9,3.5,9
Dallas Mavericks,82,42,40,10.2,20.8,11.4,72.5,1.5,1.5,3.2,2.8,3.4,8.6
Houston Rockets,81,40,41,10.7,21.3,12.1,69.7,1.8,2.6,4.4,3.2,3.2,9.7
Phoenix Suns,82,23,59,8.6,24.9,10.3,74.4,1,1.4,3.7,2.2,3.1,7.4
Portland Trail Blazers,82,44,38,12.7,25,13.2,73.4,1.6,2.1,4.4,3.2,2.9,10.5
New Orleans Pelicans,82,30,52,11.6,22.1,13.3,76,1.6,2.4,3.5,2.5,2.9,10.1
Brooklyn Nets,82,21,61,9.2,21.4,6.9,72.6,0.9,2.2,3.5,2.1,2.7,8.9
Utah Jazz,82,40,42,11.4,20.4,11.2,73.5,1.7,3.4,3.7,2.6,2.7,9
Milwaukee Bucks,82,33,49,9.9,21.4,8.9,69.2,1.4,1.5,3.5,2.8,2.6,9.1
Orlando Magic,82,35,47,9.6,21.1,8.9,73,1.3,2.2,3.2,2.2,2.5,8.5
Los Angeles Lakers,82,17,65,6.6,22,5.1,71.9,0.6,1.7,2.3,2,2.5,6.4
Oklahoma City Thunder,82,55,27,9.2,21.5,8.9,72.5,0.8,1.5,3.3,2.6,2.5,8.4
Boston Celtics,82,48,34,10.9,22.6,10.9,71.1,1.8,1.4,3.3,3.2,2.5,9.6
Washington Wizards,82,41,41,9.1,20.7,9.7,74,1.4,1.5,3,2.2,2.4,7.8
Golden State Warriors,82,73,9,7.9,20.5,9.1,72.7,0.9,2.5,2.7,2.2,2.4,7.2
Denver Nuggets,82,33,49,8.8,21.8,9.4,74.1,1.5,1.5,3,2.2,2.4,7.8
Chicago Bulls,82,42,40,8.2,20.7,11,71.7,0.8,2.3,2.7,2.5,2.3,7.2
Atlanta Hawks,82,48,34,9.4,20.7,7.5,70.1,1.2,2,3.1,2.5,2.3,7.8
San Antonio Spurs,82,67,15,8.9,20.2,8,75.3,1.1,1.5,2.6,1.9,2.3,7.3
LA Clippers,82,53,29,8.5,20.6,12.3,70.1,1.2,3,2.5,2.4,2.2,7.2
Toronto Raptors,82,56,26,9.5,20.7,11.2,73.8,0.8,2.9,2.7,2.3,2.1,7.9
Detroit Pistons,82,44,38,9.8,20.8,12.9,75.4,1.7,2.1,3,2.2,2.1,9
Cleveland Cavaliers,82,57,25,9,20.6,8.7,74.4,0.8,1.4,2.9,2,2,7.5
Memphis Grizzlies,82,42,40,6.3,21.3,5,71.3,0.9,1.2,1.9,1.5,1.9,4.9
Miami Heat,82,48,34,7.2,20.7,9.7,72.7,0.8,3.8,2.3,2,1.7,6.3
